,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,IMP,Click,CTR,CPC,COST,フォーム到達,フォーム到達CVR,フォーム到達CPA,完了,完了CVR,完了CPA,リード,リード遷移率,リードCPA,商談数,商談遷移率,商談CPA
,11月,指名,"6,927",797,11.50%,"¥1,067","¥850,000",80,10%,"¥10,625",36,4.54%,"¥23,611",29,80.00%,"¥29,310",9,30.00%,"¥94,444"
,,一般_脆弱性診断,"11,531",912,7.91%,¥395,"¥360,000",100,11.00%,"¥3,600",2,0.20%,"¥180,000",2,80.00%,"¥180,000",1,30.00%,"¥360,000"
,,ディスプレイ_RTG,"1,378,499","18,994",1.38%,¥8,"¥151,120",38,0.20%,"¥3,977",0,0.00%,#DIV/0!,0,80.00%,#DIV/0!,0,30.00%,#DIV/0!
,,11月合計,"1,396,957","20,702",1.48%,¥66,"¥1,361,120",218,1.05%,"¥6,244",38,0.18%,"¥35,819",31,81.58%,"¥43,907",10,32.26%,"¥136,112"
,12月,指名_google,"7,075",750,10.60%,"¥1,100","¥825,000",75,10%,"¥11,000",33,4.40%,"¥25,000",26,80.00%,"¥31,731",8,30.00%,"¥103,125"
,,指名_Yahoo!,"1,502",56,3.70%,¥450,"¥25,000",6,11.00%,"¥4,167",4,8.00%,"¥6,250",3,80.00%,"¥8,333",1,30.00%,"¥25,000"
,,一般_セキュリティ診断,"8,889",800,9.00%,¥500,"¥400,000",88,11.00%,"¥4,545",5,0.60%,"¥80,000",4,80.00%,"¥100,000",1,30.00%,"¥400,000"
,,一般_Webアプリケーション診断,"8,889",800,9.00%,¥500,"¥400,000",88,11.00%,"¥4,545",5,0.60%,"¥80,000",4,80.00%,"¥100,000",1,30.00%,"¥400,000"
,,12月合計,"26,355","2,406",9.13%,¥686,"¥1,650,000",169,7.03%,"¥9,763",47,1.95%,"¥35,106",37,78.72%,"¥44,595",11,29.73%,"¥150,000"
1月以降は仮,1月,指名_google,"7,783",825,10.60%,"¥1,000","¥825,000",83,10%,"¥9,940",36,4.40%,"¥22,917",29,80.00%,"¥28,448",9,30.00%,"¥91,667"
（12月24日の定例で判断）,,指名_Yahoo!,"1,689",63,3.70%,¥400,"¥25,000",7,11.00%,"¥3,571",5,8.00%,"¥5,000",4,80.00%,"¥6,250",1,30.00%,"¥25,000"
,,一般_セキュリティ診断,"30,334","2,730",9.00%,¥495,"¥1,350,000",300,11.00%,"¥4,500",16,0.60%,"¥84,375",13,80.00%,"¥103,846",4,30.00%,"¥337,500"
,,一般_Webアプリケーション診断,"26,963","2,427",9.00%,¥495,"¥1,200,000",267,11.00%,"¥4,494",15,0.60%,"¥80,000",12,80.00%,"¥100,000",4,30.00%,"¥300,000"
,,1月合計,"66,769","6,044",9.05%,¥563,"¥3,400,000",390,6.45%,"¥8,718",72,1.19%,"¥47,222",58,80.56%,"¥58,621",18,31.03%,"¥188,889"
,2月,指名_google,"7,902",838,10.60%,¥985,"¥825,000",84,10%,"¥9,821",37,4.40%,"¥22,297",30,80.00%,"¥27,500",9,30.00%,"¥91,667"
,,指名_Yahoo!,"1,689",63,3.70%,¥400,"¥25,000",7,11.00%,"¥3,571",5,8.00%,"¥5,000",4,80.00%,"¥6,250",1,30.00%,"¥25,000"
,,一般_セキュリティ診断,"16,667","1,500",9.00%,¥400,"¥600,000",165,11.00%,"¥3,636",9,0.60%,"¥66,667",7,80.00%,"¥85,714",2,30.00%,"¥300,000"
,,一般_Webアプリケーション診断,"11,111","1,000",9.00%,¥400,"¥400,000",110,11.00%,"¥3,636",6,0.60%,"¥66,667",5,80.00%,"¥80,000",2,30.00%,"¥200,000"
,,2月合計,"37,369","3,400",9.10%,¥544,"¥1,850,000",256,7.53%,"¥7,227",57,1.68%,"¥32,456",46,80.70%,"¥40,217",14,30.43%,"¥132,143"
,3月,指名_google,"7,902",838,10.60%,¥985,"¥825,000",84,10%,"¥9,821",37,4.40%,"¥22,297",30,80.00%,"¥27,500",9,30.00%,"¥91,667"
,,指名_Yahoo!,"1,689",63,3.70%,¥400,"¥25,000",7,11.00%,"¥3,571",5,8.00%,"¥5,000",4,80.00%,"¥6,250",1,30.00%,"¥25,000"
,,一般_セキュリティ診断,"17,778","1,600",9.00%,¥400,"¥640,000",176,11.00%,"¥3,636",10,0.60%,"¥64,000",8,80.00%,"¥80,000",2,30.00%,"¥320,000"
,,一般_Webアプリケーション診断,"11,111","1,000",9.00%,¥400,"¥400,000",110,11.00%,"¥3,636",6,0.60%,"¥66,667",5,80.00%,"¥80,000",2,30.00%,"¥200,000"
,,ディスプレイ_RTG,"1,250,000","2,500",0.20%,¥100,"¥250,000",275,11.00%,¥909,10,0.40%,"¥25,000",8,80.00%,"¥31,250",2,30.00%,"¥125,000"
,,3月合計,"1,288,480","6,000",0.47%,¥357,"¥2,140,000",652,10.87%,"¥3,282",68,1.13%,"¥31,471",55,80.88%,"¥38,909",16,29.09%,"¥133,750"
,"期間
合計",指名,"37,589","4,047",10.77%,"¥1,026","¥4,150,000",406,10.03%,"¥10,222",179,4.42%,"¥23,184",144,87.00%,"¥28,819",44,30.56%,"¥94,318"
,,一般_セキュリティ診断,"18,100","1,155",6.38%,¥398,"¥460,000",127,11.00%,"¥3,622",21,1.82%,"¥21,905",17,87.00%,"¥27,059",5,29.41%,"¥92,000"
,,一般_Webアプリケーション診断,"58,074","5,227",9.00%,¥459,"¥2,400,000",575,11.00%,"¥4,174",32,0.61%,"¥75,000",26,87.00%,"¥92,308",9,34.62%,"¥266,667"
,,ディスプレイ_RTG,"2,628,499","21,494",0.82%,¥19,"¥401,120",767,3.57%,¥523,10,0.05%,"¥40,112",8,87.00%,"¥50,140",2,25.00%,"¥200,560"
,,合計,"2,742,262","31,922",1.16%,¥232,"¥7,411,120","1,875",5.87%,"¥3,953",242,0.76%,"¥30,624",195,80.58%,"¥38,006",60,30.77%,"¥123,519"
