,,,,,,,,,,,,,,,更新日,31
,,,,,,,,,,,,,,,当月日数,31
,2025年10月_数値,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,全施策合計着地,,,,,,,,,,,,,,,
,,,IMP,Click,CTR,CPC,COST,フォーム到達,フォーム到達CVR,フォーム到達CPA,完了,完了CVR,完了CPA,,,
,目標値,,"2,107,509","3,741",0.18%,¥374,"¥1,400,000",207,5.53%,"¥6,761",57,1.52%,"¥24,572",,,
,指名,合計,"8,125",934,11.50%,712,"¥664,704",126,0,"5,275",27,2.84%,"25,083",,,
,,Google,"7,471",891,11.93%,717,"¥638,722",0,0,0,26,2.92%,"24,566",,,
,,Yahoo!,654,43,6.57%,604,"¥25,982",0,0,0,1,2.33%,"25,982",,,
,一般_脆弱性診断,Google,"12,290","1,042",8.48%,445,"¥464,016",105,0,"4,419",5,0.48%,"92,803",,,
,ディスプレイ_RTG,Google,"1,426,797","25,458",1.78%,6,"¥157,395",31,0,"5,077",0,0.00%,0,,,
,合計,,"1,447,212","27,434",1.90%,¥47,"¥1,286,115",262,0.96%,"¥4,909",32,0.11%,"¥40,829",,,
,当初プランとの差分,,"-660,297","23,693",-,-,"-¥113,885",55,-,-,-25,-1.41%,"¥16,257",,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,指名_合計,,,,,,,,,,,,,,,
,,,IMP,Click,CTR,CPC,COST,フォーム到達,フォーム到達CVR,フォーム到達CPA,完了,完了CVR,完了CPA,,,
,目標値,,"8,696","1,000",11.50%,¥650,"¥650,000",77,7.70%,"¥8,444",30,3.05%,"¥21,315",,,
,1週目：10/1（水）〜10/5（日）,,950,109,11.47%,¥700,"¥76,253",18,16.51%,"¥4,236",4,3.67%,"¥19,063",,,
,2週目：10/6（月）〜10/12（日）,,"1,923",213,11.08%,¥662,"¥141,104",17,7.98%,"¥8,300",4,1.88%,"¥35,276",,,
,3週目：10/13（月）〜10/19（日）,,"1,224",153,12.50%,¥497,"¥76,008",19,12.42%,"¥4,000",5,3.27%,"¥15,202",,,
,4週目：10/20（月）〜10/26（日）,,"1,876",217,11.57%,¥865,"¥187,606",37,17.05%,"¥5,070",7,3.00%,"¥28,862",,,
,5週目：10/27（月）〜10/31（金）,,"2,152",242,11.25%,¥759,"¥183,733",35,14.46%,"¥5,250",7,2.89%,"¥26,248",,,
,合計,,"8,125",934,11.50%,¥712,"¥664,704",126,13.49%,"¥5,275",27,2.84%,"¥25,083",,,
,着地見込み,,"8,125",934,11.50%,¥712,"¥664,704",126,13.49%,"¥5,275",27,2.84%,"¥25,083",,,
,当初プランとの差分,,-571,-66,-,-,"14,704",49,-,-,-4,-0.21%,"-¥3,769",,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,指名_Google,,,,,,,,,,,,,,,
,,,IMP,Click,CTR,CPC,COST,フォーム到達,フォーム到達CVR,フォーム到達CPA,完了,完了CVR,完了CPA,,,
,目標値,,"8,013",962,12.00%,¥650,"¥625,000",0,,¥0,28,2.90%,"¥22,414",,,
,1週目：10/1（水）〜10/5（日）,,877,106,12.09%,¥714,"¥75,635",,0.00%,¥0,4,3.77%,"¥18,909",,,
,2週目：10/6（月）〜10/12（日）,,"1,786",203,11.37%,¥642,"¥130,338",,0.00%,¥0,4,1.97%,"¥32,585",,,
,3週目：10/13（月）〜10/19（日）,,"1,110",148,13.33%,¥491,"¥72,626",,0.00%,¥0,6,4.05%,"¥12,104",,,
,4週目：10/20（月）〜10/26（日）,,"1,718",209,12.17%,¥865,"¥180,755",,0.00%,¥0,7,3.11%,"¥27,808",,,
,5週目：10/27（月）〜10/31（金）,,"1,980",225,11.36%,¥797,"¥179,368",,0.00%,¥0,6,2.44%,"¥32,612",,,
,合計,,"7,471",891,11.93%,¥717,"¥638,722",0,0.00%,¥0,26,2.92%,"¥24,566",,,
,着地見込み,,"7,471",891,11.93%,¥717,"¥638,722",0,0.00%,¥0,26,2.92%,"¥24,566",,,
,当初プランとの差分,,-542,-71,-,-,"13,722",0,-,-,-2,0.02%,"-¥2,152",,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,指名_Yahoo!,,,,,,,,,,,,,,,
,,,IMP,Click,CTR,CPC,COST,フォーム到達,フォーム到達CVR,フォーム到達CPA,完了,完了CVR,完了CPA,,,
,目標値,,683,38,5.63%,¥650,"¥25,000",0,,¥0,2,4.00%,"¥16,250",,,
,1週目：10/1（水）〜10/5（日）,,73,3,4.11%,¥206,¥618,,0.00%,¥0,0,0.00%,¥0,,,
,2週目：10/6（月）〜10/12（日）,,137,10,7.30%,"¥1,077","¥10,766",,0.00%,¥0,0,0.00%,¥0,,,
,3週目：10/13（月）〜10/19（日）,,114,5,4.39%,¥676,"¥3,382",,0.00%,¥0,0,0.00%,¥0,,,
,4週目：10/20（月）〜10/26（日）,,158,8,5.06%,¥856,"¥6,851",,0.00%,¥0,0,0.00%,¥0,,,
,5週目：10/27（月）〜10/31（金）,,172,17,9.88%,¥257,"¥4,365",,0.00%,¥0,1,5.88%,"¥4,365",,,
,合計,,654,43,6.57%,¥604,"¥25,982",0,0.00%,¥0,1,2.33%,"¥25,982",,,
,着地見込み,,654,43,6.57%,¥604,"¥25,982",0,0.00%,¥0,1,2.33%,"¥25,982",,,
,当初プランとの差分,,-29,5,-,-,982,0,-,-,-1,-1.67%,"-¥9,732",,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,一般_脆弱性診断,,,,,,,,,,,,,,,
,,,IMP,Click,CTR,CPC,COST,フォーム到達,フォーム到達CVR,フォーム到達CPA,完了,完了CVR,完了CPA,,,
,目標値,,"15,480",658,4.25%,¥760,"¥500,000",68,10.27%,"¥7,397",17,2.60%,"¥29,231",,,
,1週目：10/1（水）〜10/5（日）,,"1,259",59,4.69%,¥699,"¥41,227",9,15.25%,"¥4,581",2,3.39%,"¥20,614",,,
,2週目：10/6（月）〜10/12（日）,,"2,485",185,7.44%,¥725,"¥134,153",27,14.59%,"¥4,969",1,0.54%,"¥134,153",,,
,3週目：10/13（月）〜10/19（日）,,"3,479",331,9.51%,¥458,"¥151,687",25,7.55%,"¥6,067",2,0.60%,"¥75,844",,,
,4週目：10/20（月）〜10/26（日）,,"3,098",321,10.36%,¥306,"¥98,385",25,7.79%,"¥3,935",0,0.00%,¥0,,,
,5週目：10/27（月）〜10/31（金）,,"1,969",146,7.41%,¥264,"¥38,564",19,13.01%,"¥2,030",0,0.00%,¥0,,,
,合計,,"12,290","1,042",8.48%,¥445,"¥464,016",105,10.08%,"¥4,419",5,0.48%,"¥92,803",,,
,着地見込み,,"12,290","1,042",8.48%,¥445,"¥464,016",105,10.08%,"¥4,419",5,0.48%,"¥92,803",,,
,当初プランとの差分,,"-3,190",384,-,-,"-35,984",37,-,-,-12,-2.12%,"¥63,572",,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,ディスプレイ_RTG,,,,,,,,,,,,,,,
