,,,,,,,,,,,,,,更新日,30
,,,,,,,,,,,,,,当月日数,30
,,2025年11月_数値,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,全施策合計着地,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,着地,,,,,,,,,,,,,
,,キャンペーン,媒体,IMP,Click,CTR,CPC,COST,AdsCV,リード,リードCVR,リードCPA,,,
,,指名,Google,"7,190",761,10.58%,"1,059","805,600",31,16,2.10%,"50,350",,,
,,,Yahoo!,649,21,3.24%,394,"8,266",3,1,4.76%,"8,266",,,
,,,合計,"7,839",782,9.98%,"1,041","813,866",34,17,2.17%,"47,874",,,
,,一般_セキュリティ診断,Google,"10,416",867,8.32%,407,"352,868",2,2,0.23%,"176,434",,,
,,ディスプレイ_RTG,Google,"1,376,431","18,003",1.31%,8,"146,372",0,0,0.00%,0,,,
,,合計,,"1,394,686","19,652",1.41%,¥67,"¥1,313,106",36,19,0.10%,"¥69,111",,,
,,当初プランとの差分,,"-554,310","-1,640",-,-,"-¥86,894",-13,-11,-0.13%,"¥40,277",,,
,,,,,,,,,,,,,,,
,,当初目標値,,,,,,,,,,,,,
,,キャンペーン,媒体,IMP,Click,CTR,CPC,COST,AdsCV,リード,リードCVR,リードCPA,,,
,,指名,Google,"5,284",630,11.93%,"¥1,150","¥725,000",30,26,4.70%,"¥24,468",,,
,,,Yahoo!,644,52,8.00%,¥485,"¥25,000",4,3,8.00%,"¥6,063",,,
,,,小計,"5,929",682,11.50%,"¥1,100","¥750,000",34,29,5.00%,"¥22,000",,,
,,一般_セキュリティ診断,Google,"19,990","1,379",6.90%,¥290,"¥400,000",10,1,0.70%,"¥41,429",,,
,,ディスプレイ_RTG,Google,"1,923,077","19,231",1.00%,¥13,"¥250,000",5,0,0.03%,"¥52,000",,,
,,合計,,"1,948,996","21,292",1.09%,¥66,"¥1,400,000",49,30,0.23%,"¥28,834",,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,指名_合計,,,,,,,,,,,,,
,,,,IMP,Click,CTR,CPC,COST,AdsCV,リード,リードCVR,リードCPA,,,
,,目標値,,"5,929",682,11.50%,"¥1,100","¥750,000",34,29,5.00%,"¥22,000",,,
,,1週目：11/1（土）〜11/2（日）,,58,9,15.52%,¥793,"¥7,140",3,1,11.11%,"¥7,140",,,
,,2週目：11/3（月・祝）〜11/9（日）,,"1,726",192,11.12%,"¥1,172","¥225,017",10,5,2.60%,"¥45,003",,,
,,3週目：11/10（月）〜11/16（日）,,"2,005",201,10.02%,"¥1,038","¥208,691",6,3,1.49%,"¥69,564",,,
,,4週目：11/17（月）〜11/23（日）,,"2,323",215,9.26%,"¥1,011","¥217,462",11,5,2.33%,"¥43,492",※19日～21日 イベント参加,,
,,5週目：11/24（月・祝）〜11/30（日）,,"1,727",165,9.55%,¥943,"¥155,556",4,3,1.82%,"¥51,852",,,
,,合計,,"7,839",782,9.98%,"¥1,041","¥813,866",34,17,2.17%,"¥47,874",,,
,,着地見込み,,"7,839",782,9.98%,"¥1,041","¥813,866",34,17,2.17%,"¥47,874",,,
,,当初プランとの差分,,"1,910",100,-,-,"63,866",0,-12,-2.83%,"-¥25,874",,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,指名_Google,,,,,,,,,,,,,
,,,,IMP,Click,CTR,CPC,COST,AdsCV,リード,リードCVR,リードCPA,,,
