,,,,,,,,,,,,,,,,,,,,,,,,,
,与件整理・目標,,,,,,,,,,,,,,,,,,,,,,,,
,先週、すり合わせをさせていただいた（10/1議事録）を元に、資料ダウンロードとデモのCV数70を2倍以上に、という観点で、シミュレーションをさせていただいたのが、下記となります。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,①現状9月実績,,,,,,,,,,,,,,,,,,,,,,,,
,,IMP,Click,CTR,CPC,COST,フォーム到達,フォーム到達CVR,フォーム到達CPA,完了,完了CVR,完了CPA,,,,,,,,,,,,,
,指名,"7,072",787,11.13%,¥585,"¥460,287",60.58,7.70%,"¥7,598",24,3.05%,"¥19,179",,,,,,,,,,,,,
,一般_脆弱性診断,"1,772",73,4.12%,¥639,"¥46,661",7.5,10.27%,"¥6,221",2,2.74%,"¥23,331",,,,,,,,,,,,,
,一般_生成AI,"5,682",516,9.08%,¥450,"¥232,449",83,16.09%,"¥2,801",0,0.00%,¥0,,,,,,,,,,,,,
,合計,"14,526","1,376",9.47%,¥537,"¥739,397",151,10.98%,"¥4,894",26,1.89%,"¥28,438",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,配信伸ばしたプラン+新規施策,,,,,,,,,,,,,,,,,,,,,,,,
,,IMP,Click,CTR,CPC,COST,フォーム到達,フォーム到達CVR,フォーム到達CPA,完了,完了CVR,完了CPA,,,,,,,,,,,,,
,指名,"8,696","1,000",11.50%,¥650,"¥650,000",77,7.70%,"¥8,444",30,3.05%,"¥21,315",,,,,,,,,,,,,
,一般_脆弱性診断,"15,480",658,4.25%,¥760,"¥500,000",68,10.27%,"¥7,397",17,2.60%,"¥29,231",,,,,,,,,,,,,
,ディスプレイ_RTG,"2,083,333","2,083",0.10%,¥120,"¥250,000",63,3.00%,"¥4,000",9,0.45%,"¥26,667",,,,,,,,,,,,,
,合計,"2,107,509","3,741",0.18%,¥374,"¥1,400,000",207,5.53%,"¥6,761",57,1.52%,"¥24,572",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,広告,①現状の9月実績,26,,,,,,,,,,,,,,,
,,,,,,,,,②今回上積みする分,31,,,,,,,,,,,,,,,
,,,,,,,,合計,,57,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9月資料ダウンロード＋デモCV数=70件,,,,,,,,,,,,,,,,,
,,,,,,,,広告で上積みをする分=31件,,,,,,,,,,,,,,,,,
,,,,,,,,合計,,101,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,新体制,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,広告施策,,,,,,,,,,,,,,,,,,,"¥155,231","¥38,808",,,,
,,,,,,,,,,,,,,,,,,,,"¥83,424","¥20,856",,,,
,配信伸ばしたプラン+新規施策,,,,,,,,,,,,,配信伸ばしたプラン+新規施策,,,,,,,,,,,
,,IMP,Click,CTR,CPC,COST,フォーム到達,フォーム到達CVR,フォーム到達CPA,完了,完了CVR,完了CPA,,,IMP,Click,CTR,CPC,COST,フォーム到達,フォーム到達CVR,フォーム到達CPA,完了,完了CVR,完了CPA
,指名,"8,696","1,000",11.50%,¥650,"¥650,000",77,7.70%,"¥8,444",30,3.05%,"¥21,315",,指名,"8,696","1,000",11.50%,¥650,"¥650,000",77,7.70%,"¥8,444",30,3.05%,"¥21,315"
,一般_脆弱性診断,"26,596","1,250",4.70%,¥800,"¥1,000,000",128,10.27%,"¥7,787",31,2.50%,"¥32,000",,一般_脆弱性診断,"15,480",658,4.25%,¥760,"¥500,000",68,10.27%,"¥7,397",17,2.60%,"¥29,231"
,ディスプレイ_RTG,"3,333,333","3,333",0.10%,¥150,"¥500,000",100,3.00%,"¥5,000",20,0.60%,"¥25,000",,ディスプレイ_RTG,"2,083,333","2,083",0.10%,¥120,"¥250,000",63,3.00%,"¥4,000",9,0.45%,"¥26,667"
,合計,"3,368,625","5,583",0.17%,¥385,"¥2,150,000",305,5.47%,"¥7,040",82,1.46%,"¥26,301",,合計,"2,107,509","3,741",0.18%,¥374,"¥1,400,000",207,5.53%,"¥6,761",57,1.52%,"¥24,572"
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10/27時点実績,,,,,,,,,,★課題①,
,指名キャンペーン,,,,,,,,,,,,,,IMP,Click,CTR,CPC,COST,フォーム到達,フォーム到達CVR,フォーム到達CPA,完了,完了CVR,完了CPA
,"現状：インプシェア80％、CPA約¥19,000",,,,,21.43117379,15.00888526,17.12328767,,,,,,指名,"5,951",711,11.95%,¥696,"¥494,769",90,12.70%,"¥5,477",17,2.39%,"¥29,104"
,"追加余地ありだがコスト上昇リスク大（CPA ¥23,000〜25,000想定）",,,,,,,,,,,,,一般_脆弱性診断,"10,510",894,8.51%,¥466,"¥416,576",69,7.72%,"¥6,037",5,0.56%,"¥83,315"
,やること：入札最大化、広告品質改善,,,,,,,,,,,,,ディスプレイ_RTG,"1,159,646","21,089",1.82%,¥7,"¥139,120",27,0.13%,"¥5,153",0,0.00%,#DIV/0!
,,,,,,,,,,,,,,合計,"1,176,107","22,694",1.93%,¥46,"¥1,050,465",186,0.82%,"¥5,638",22,0.10%,"¥47,748"
,一般キャンペーン,,,,,,,,,,,,,,,,,,,,,,,,
,現状：件数は取れ始めたが不安定,,,,,,,,,,,,,10月着地見込み（日で均したもの）,,,,,,,,,,★課題①,
,やること：除外KW精査・入札/セグメント調整で安定化で軌道にのせる → 広告/LPテスト → 安定後に拡大,,,,,,,,,,,,,,IMP,Click,CTR,CPC,COST,フォーム到達,フォーム到達CVR,フォーム到達CPA,完了,完了CVR,完了CPA
,,,,,,,,,,,,,,指名,"6,833",816,11.95%,¥696,"¥568,068",104,12.70%,"¥5,477",20,2.39%,"¥29,104"
,リターゲティング,,,,,,,,,,,,,一般_脆弱性診断,"12,067","1,026",8.51%,¥466,"¥478,291",79,7.72%,"¥6,037",6,0.56%,"¥83,315"
,現状：未着手,,,,,,,,,,,,,ディスプレイ_RTG,"1,331,445","24,213",1.82%,¥7,"¥159,730",31,0.13%,"¥5,153",0,0.00%,#DIV/0!
