"10/1~12/31
SS>100のみ抽出",,資料請求,アカウント登録,問い合わせ,,
ページ,session_start,request_thanks,sign_up,inquiry_thanks,CV合計,CVR
/columns/happy-receive,134692,6,0,0,6,0.00%
/eraberu_pay,42170,182,90,20,292,0.69%
/,39593,363,172,158,693,1.75%
(not set),33824,0,0,0,0,0.00%
/columns/pregnancygift,25649,0,0,0,0,0.00%
/account/login,20187,3,241,7,251,1.24%
/consumer/selectablepay/about_old,20094,10,6,7,23,0.11%
/console,18290,6,32,1,39,0.21%
/columns/departmentstore-giftcertificate,14680,1,2,0,3,0.02%
/columns/giftcertificate,13896,1,0,0,1,0.01%
/columns/jcbgiftcard,12627,0,0,0,0,0.00%
/columns/yearendparty-prizes,12118,1,0,0,1,0.01%
/columns/quocard,9273,0,0,0,0,0.00%
/columns/amazon-giftcard,9233,1,0,1,2,0.02%
/gifteebox,8358,31,13,8,52,0.62%
/columns/linegift,6044,1,0,0,1,0.02%
/contents,5947,5,21,3,29,0.49%
/columns/rakutengiftcard,5963,0,1,0,1,0.02%
/columns/jtbgift,5959,0,0,0,0,0.00%
/columns/shohinken-place,4900,0,0,0,0,0.00%
/columns/paypaygiftcard,4864,5,3,0,8,0.16%
/columns/keihyoho,4514,0,0,0,0,0.00%
/columns/vvgift,4414,1,0,0,1,0.02%
/columns/aggregation-method,4082,0,0,0,0,0.00%
/columns/240527-survey,3942,0,0,0,0,0.00%
/columns/welfare-expense-tax,3269,5,1,0,6,0.18%
/account/authentication_requests/new,2606,1,123,2,126,4.83%
/about,2465,5,11,0,16,0.65%
/columns/visagiftcard,2380,0,0,0,0,0.00%
/seminar/giftee-251119,2272,3,0,0,3,0.13%
/columns/apology-item,2205,0,0,0,0,0.00%
/columns/giftcertificate-mail,2048,0,0,0,0,0.00%
/columns/anniversary-celebration,1871,0,0,0,0,0.00%
/columns/insurancebusiness-law,1715,3,0,0,3,0.17%
/cases,1609,9,0,7,16,0.99%
/inquiry,1491,3,4,58,65,4.36%
/giftee-plus-solutions/survey,1435,9,0,2,11,0.77%
/columns/amazongiftcard-buy,1442,1,0,0,1,0.07%
/columns/aeongiftcard,1378,0,0,0,0,0.00%
/seminar/giftee-cg251126-1210,1364,0,0,0,0,0.00%
/columns/uniqlo-gift-card,1239,0,1,0,1,0.08%
/confirm_login,1228,3,7,0,10,0.81%
/purposes/employee_benefit,1125,4,0,1,5,0.44%
/seminar/giftee-cg251008-1022,1126,0,0,0,0,0.00%
/columns/toshocard-gift,1094,0,0,0,0,0.00%
/columns/retirementgift,1062,0,0,0,0,0.00%
/columns/digitalgift-receive,1038,0,1,1,2,0.19%
/columns/original-craft-beer,991,0,0,0,0,0.00%
/purposes/questionnaire,948,15,0,0,15,1.58%
/columns/longservice,937,0,0,0,0,0.00%
/seminar/giftee-251106,906,1,0,0,1,0.11%
/columns/toycard,862,0,0,0,0,0.00%
/columns/googleplaygiftcards,800,0,0,0,0,0.00%
/columns/amazongiftcard-survey,789,7,0,0,7,0.89%
/columns/winmail,788,0,0,0,0,0.00%
/purposes/point,772,0,0,1,1,0.13%
/columns/jcb-premo,765,0,0,0,0,0.00%
/giftee-plus-solutions/referral,738,10,0,0,10,1.36%
/seminar/giftee-cg251023-1106,733,0,0,0,0,0.00%
/seminar/giftee-251120,711,1,0,0,1,0.14%
/contents/161e544c-5876-48a9-91a0-710ab27f1583,666,0,1,0,1,0.15%
/columns/communicationdesignnight,666,0,0,0,0,0.00%
/columns/applegiftcards,664,0,0,0,0,0.00%
/gift-overview/digital-gifts,631,5,2,2,9,1.43%
/columns/amazongiftcard-email,612,1,0,0,1,0.16%
/columns/amazongiftcard-payment,610,1,1,0,2,0.33%
/account/password_reset_requests,587,0,2,0,2,0.34%
/uniqlo_form,574,1,1,12,14,2.44%
/columns/240313,573,1,0,1,2,0.35%
/request,483,35,0,4,39,8.07%
/columns/promotional-campaign,498,0,0,0,0,0.00%
/giftee_sweets_box,496,0,1,0,1,0.20%
/contents/68cd8b99-dee0-4b72-9d65-194c98a44280,480,0,3,0,3,0.63%
/contents/bd7d143c-00ec-4eaf-aa18-f9acfaf510f0,473,0,1,0,1,0.21%
/purposes/local-government,468,2,0,1,3,0.64%
/columns/amazongiftcard-message,446,0,0,0,0,0.00%
/giftee_cafe_box,439,0,0,0,0,0.00%
/brands/5ed0482a-57a8-4d08-b103-5a022e826693,425,0,0,0,0,0.00%
/contents/8779d38f-468d-4035-aa4d-560ffff73f9d,412,0,0,0,0,0.00%
/contents/12996955-7287-427f-986f-488e42ab655a,406,0,0,0,0,0.00%
/contents/a5447b32-ada9-4629-92d3-daddc80b19ef,397,1,2,0,3,0.76%
/columns/interview-reward,390,0,0,0,0,0.00%
/purposes/lottery,387,3,0,0,3,0.78%
/sushiro_form,371,0,3,8,11,2.96%
/columns/survey-request,365,0,0,0,0,0.00%
/columns/nanaco,348,1,1,0,2,0.57%
/price,338,5,2,3,10,2.96%
/columns/anniversary-celebration-employee,343,1,0,0,1,0.29%
/giftee-point-base,316,5,0,1,6,1.90%
/columns/240328,317,0,0,0,0,0.00%
/columns/shinsotsu-welcome-gift-onboarding,309,0,0,0,0,0.00%
/contents/28d4dad5-4b60-4852-9a4e-8736924d613d,309,0,0,0,0,0.00%
/contents/1a3f9e14-e6ee-4306-aca7-c2daf85cd578,303,1,0,0,1,0.33%
/columns/salespromotionideas,303,0,0,0,0,0.00%
/columns/digitalgift-howto,298,3,0,0,3,1.01%
/columns/welcomeparty-entertainment,301,0,0,0,0,0.00%
/dashboard/projects/new/bulk_entry/cart,299,0,0,0,0,0.00%
/columns/diversity-inclusion,298,0,0,0,0,0.00%
/columns/social-gifts,293,0,0,0,0,0.00%
/giftee-plus-solutions/instantwin,288,5,0,0,5,1.74%
/giftee_foodie_box,292,0,0,0,0,0.00%
/contents/b4796b06-fee4-4723-8266-031b61967e65,285,0,0,0,0,0.00%
/contents/c55c9fd0-e62e-4b72-8fb8-628a15de866e,284,1,0,0,1,0.35%
/columns/digitalgift-list,279,3,1,0,4,1.43%
/contents/3d7dec59-9e62-4751-8c97-ff85ce92ac5e,274,0,2,0,2,0.73%
/contents/7b4609bf-941a-455b-b9cd-a9e9c092f12d,276,0,0,0,0,0.00%
/contents/6375977c-9cc9-48da-a878-feb8702e9895,274,0,0,0,0,0.00%
/purposes/egiftcard,267,3,1,3,7,2.62%
/forms/eraberupay,252,8,1,1,10,3.97%
