,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2025/4,2025/4,2025/4,2025/4,2025/4,2025/5,2025/5,2025/5,2025/5,2025/5,2025/6,2025/6,2025/6,2025/6,2025/6,2025/7,2025/7,2025/7,2025/7,2025/7,2025/8,2025/8,2025/8,2025/8,2025/8,2025/9,2025/9,2025/9,2025/9,2025/9,2025/10,2025/10,2025/10,2025/10,2025/10,2025/11,2025/11,2025/11,2025/11,2025/11,2025/12,2025/12,2025/12,2025/12,2025/12
,,,,202504,202504,202504,202504,202504,202505,202505,202505,202505,202505,202506,202506,202506,202506,202506,202507,202507,202507,202507,202507,202508,202508,202508,202508,202508,202509,202509,202509,202509,202509,202510,202510,202510,202510,202510,202511,202511,202511,202511,202511,202512,202512,202512,202512,202512
キーワード,パス,URL,デバイス,全体SS,PC_SS,PS_FM_SS,PC_CV,PC率,全体SS,PC_SS,PS_FM_SS,PC_CV,PC率,全体SS,PC_SS,PS_FM_SS,PC_CV,PC率,全体SS,PC_SS,PS_FM_SS,PC_CV,PC率,全体SS,PC_SS,PS_FM_SS,PC_CV,PC率,全体SS,PC_SS,PS_FM_SS,PC_CV,PC率,全体SS,PC_SS,PS_FM_SS,PC_CV,PC率,全体SS,PC_SS,PS_FM_SS,PC_CV,PC率,全体SS,PC_SS,PS_FM_SS,PC_CV,PC率
もらって嬉しいギフトカード,/columns/happy-receive,https://giftee.biz/columns/happy-receive/,desktop,"6,523",799,4,1,12%,"11,905","1,339",5,0,11%,"17,484","2,372",23,2,14%,"21,396","2,795",32,2,13%,"25,902","3,312",16,0,13%,"28,023","3,579",14,1,13%,"31,802","4,748",31,1,15%,"40,442","6,388",25,3,16%,"65,312","8,299",36,4,13%
産休 ギフト,/columns/pregnancygift,https://giftee.biz/columns/pregnancygift/,desktop,"4,375",474,1,0,11%,"5,312",561,1,0,11%,"7,726",737,2,0,10%,"7,353",730,15,0,10%,"6,371",614,6,0,10%,"7,367",763,3,0,10%,"9,049","1,048",1,0,12%,"8,235",873,3,0,11%,"8,364",855,0,0,10%
jcbギフトカードとは,/columns/jcbgiftcard,https://giftee.biz/columns/jcbgiftcard/,desktop,0,0,0,0,0%,8,5,0,0,63%,12,8,0,0,67%,82,36,1,0,44%,481,137,1,0,28%,"2,115",373,2,0,18%,"2,558",395,6,0,15%,"3,315",479,3,0,14%,"6,741",942,10,0,14%
商品券 種類,/columns/giftcertificate,https://giftee.biz/columns/giftcertificate/,desktop,840,192,0,0,23%,"1,380",352,3,1,26%,"1,795",467,5,1,26%,"2,445",562,24,0,23%,"2,438",495,4,0,20%,"2,402",530,5,0,22%,"3,518",806,6,0,23%,"4,342",856,5,1,20%,"6,052","1,141",6,1,19%
忘年会 景品 おすすめ,/columns/yearendparty-prizes,https://giftee.biz/columns/yearendparty-prizes/,desktop,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,874,448,3,0,51%,"5,137","1,821",16,1,35%,"6,091","1,652",7,0,27%
全国百貨店共通商品券とは,/columns/departmentstore-giftcertificate,https://giftee.biz/columns/departmentstore-giftcertificate/,desktop,0,0,0,0,0%,0,0,0,0,0%,8,5,0,0,63%,134,73,0,0,54%,"2,552",411,3,0,16%,"3,690",621,1,0,17%,"4,410",719,3,0,16%,"4,676",777,1,1,17%,"5,375",945,7,0,18%
quoカードとは,/columns/quocard,https://giftee.biz/columns/quocard/,desktop,103,44,3,0,43%,128,53,0,0,41%,106,52,0,0,49%,115,45,2,0,39%,581,201,0,0,35%,"1,394",382,3,0,27%,"1,722",490,4,0,28%,"2,112",553,0,0,26%,"5,453","1,119",3,0,21%
amazonギフトカードとは,/columns/amazon-giftcard,https://giftee.biz/columns/amazon-giftcard/,desktop,284,236,9,2,83%,448,336,21,4,75%,466,334,7,0,72%,511,311,11,1,61%,"1,048",382,8,2,36%,"1,872",614,6,1,33%,"1,772",610,3,1,34%,"2,417",689,4,1,29%,"5,067","1,150",9,1,23%
